id,type,slug,display_name,ssa_site_code,ssa_office_name,region,ssa_last_updated,address1,address2,city,state,zipcode,tel_public,tel_call_back,fax,modified
51,2,merced-ca-fo,Merced CA FO,60,MERCED CA,NULL,10/1/2020,600 West Olive Ave,,Merced,CA,95348,18886327069,NULL,NULL,2020-12-19 16:07:49.649+00
52,2,santa-cruz-ca-fo,Santa Cruz CA FO,61,SANTA CRUZ CA,NULL,10/1/2020,169 Walnut Avenue,,Santa Cruz,CA,95060,18005938523,NULL,NULL,2020-12-19 16:07:56.013+00
53,2,chatsworth-ca-fo,Chatsworth CA FO,62,CHATSWORTH CA,NULL,10/1/2020,20439 Nordhoff St,,Chatsworth,CA,91311,18557273598,NULL,NULL,2020-12-19 16:07:39.291+00
54,2,montebello-ca-fo,Montebello CA FO,63,MONTEBELLO CA,NULL,10/1/2020,2216 W Beverly Blvd,,Montebello,CA,90640,18669647435,NULL,NULL,2020-12-19 16:07:50.104+00
55,2,watts-ca-fo,Watts CA FO,64,WATTS CA,NULL,10/1/2020,12429 Avalon Blvd,,Los Angeles,CA,90061,18778361558,NULL,NULL,2020-12-19 16:07:57.927+00
56,2,hayward-ca-fo,Hayward CA FO,66,HAYWARD CA,NULL,10/1/2020,24301 Southland Dr,Suite 500,Hayward,CA,94545,18669645054,NULL,NULL,2020-12-19 16:07:44.715+00
57,2,santa-maria-ca-fo,Santa Maria CA FO,68,SANTA MARIA CA,NULL,10/1/2020,2436 Professional Parkway,,Santa Maria,CA,93455,18663312316,NULL,NULL,2020-12-19 16:07:56.03+00
58,2,palm-springs-ca-fo,Palm Springs CA FO,70,PALM SPRINGS CA,NULL,10/1/2020,4201 E Ramon Rd,,Palm Springs,CA,92264,18778739105,NULL,NULL,2020-12-19 16:07:52.71+00
59,2,providence-ri-fo,Providence RI FO,72,PROVIDENCE RI,NULL,10/1/2020,One Empire Plaza,6Th Floor,Providence,RI,2903,18774020808,NULL,18339502346,2020-12-19 16:07:54.811+00
60,2,woonsocket-ri-fo,Woonsocket RI FO,73,WOONSOCKET RI,NULL,10/1/2020,2168 Diamond Hill Road,Pavilion Plaza,Woonsocket,RI,2895,18772293542,NULL,18339502348,2020-12-19 16:07:58.359+00
61,2,pawtucket-ri-fo,Pawtucket RI FO,74,PAWTUCKET RI,NULL,10/1/2020,4 Pleasant St,,Pawtucket,RI,2860,18669317079,NULL,18339502350,2020-12-19 16:07:53.107+00
62,2,warwick-ri-fo,Warwick RI FO,75,WARWICK RI,NULL,10/1/2020,30 Quaker Lane,First Floor,Warwick,RI,2886,18669642038,NULL,18339502352,2020-12-19 16:07:57.839+00
63,2,hartford-ct-fo,Hartford CT FO,80,HARTFORD CT,NULL,10/1/2020,960 Main St,2Nd Floor,Hartford,CT,6103,18776192851,NULL,18339502354,2020-12-19 16:07:44.54+00
64,2,bridgeport-ct-fo,Bridgeport CT FO,81,BRIDGEPORT CT,NULL,10/1/2020,2Nd Floor,35 Courtland St,Bridgeport,CT,6604,18663316399,NULL,18339502356,2020-12-19 16:07:38.578+00
65,2,waterbury-ct-fo,Waterbury CT FO,82,WATERBURY CT,NULL,10/1/2020,51 North Elm St,Suite 1,Waterbury,CT,6702,18774054874,NULL,18339502358,2020-12-19 16:07:57.876+00
66,2,willimantic-ct-fo,Willimantic CT FO,83,WILLIMANTIC CT,NULL,10/1/2020,1320 Main St,Ste 19,Willimantic,CT,6226,18774050488,NULL,18339502360,2020-12-19 16:07:58.228+00
67,2,new-london-ct-fo,New London CT FO,84,NEW LONDON CT,NULL,10/1/2020,2 Shaws Cove,Rm 101,New London,CT,6320,18666433401,NULL,18339502652,2020-12-19 16:07:50.557+00
68,2,new-haven-ct-fo,New Haven CT FO,85,NEW HAVEN CT,NULL,10/1/2020,150 Court St,Giaimo Fed Bldg 4Th Fl,New Haven,CT,6510,18663315281,NULL,18339502654,2020-12-19 16:07:50.516+00
69,2,new-britain-ct-fo,New Britain CT FO,86,NEW BRITAIN CT,NULL,10/1/2020,233 Main Street,2Nd Fl,New Britain,CT,6051,18668586086,NULL,18339502656,2020-12-19 16:07:50.49+00
70,2,stamford-ct-fo,Stamford CT FO,87,STAMFORD CT,NULL,10/1/2020,2 Landmark Square,Suite 105,Stamford,CT,6901,18667701881,NULL,18339502658,2020-12-19 16:07:56.941+00
71,2,meriden-ct-fo,Meriden CT FO,88,MERIDEN CT,NULL,10/1/2020,Suite 212,321 Research Parkway,Meriden,CT,6450,18774098429,NULL,18339502660,2020-12-19 16:07:49.658+00
72,2,torrington-ct-fo,Torrington CT FO,89,TORRINGTON CT,NULL,10/1/2020,147 Litchfield Street,,Torrington,CT,6790,18774050486,NULL,18339502662,2020-12-19 16:07:57.37+00
73,2,danbury-ct-fo,Danbury CT FO,90,DANBURY CT,NULL,10/1/2020,131 West St,,Danbury,CT,6810,18662757821,NULL,18339502664,2020-12-19 16:07:41.229+00
74,2,littleton-co-fo,Littleton CO FO,92,LITTLETON CO,NULL,10/1/2020,8000 Southpark Ln,,Littleton,CO,80120,18888244384,NULL,NULL,2020-12-19 16:07:48.113+00
75,2,lakewood-co-fo,Lakewood CO FO,93,LAKEWOOD CO,NULL,10/1/2020,13151 W Alameda Pkwy,,Lakewood,CO,80228,18665639469,NULL,NULL,2020-12-19 16:07:47.337+00
76,2,abingdon-md-fo,Abingdon MD FO,94,ABINGDON MD,NULL,10/1/2020,Corporate Center Dr,3435A Box Hill,Abingdon,MD,21009,18777012142,NULL,NULL,2020-12-19 16:07:36.872+00
77,2,cambridge-md-fo,Cambridge MD FO,95,CAMBRIDGE MD,NULL,10/1/2020,828 Airpax Road,Suite 500,Cambridge,MD,21613,18883479277,NULL,NULL,2020-12-19 16:07:38.93+00
78,2,elkton-md-fo,Elkton MD FO,96,ELKTON MD,NULL,10/1/2020,300 Big Elk Mall,,Elkton,MD,21921,18663312218,NULL,NULL,2020-12-19 16:07:42.476+00
79,2,chillicothe-mo-fo,Chillicothe MO FO,97,CHILLICOTHE MO,NULL,10/1/2020,1105 S Mitchell Ave,Industrial Pk,Chillicothe,MO,64601,18774057668,NULL,NULL,2020-12-19 16:07:39.59+00
80,2,kansas-city-(gateway)-fo,Kansas City (Gateway) FO,98,KANSAS CITY (GATEWAY),NULL,10/1/2020,2021 Independence Ave,,Kansas City,MO,64124,18882213612,NULL,NULL,2020-12-19 16:07:46.61+00
81,2,st-louis-cen-west-mo-fo,St Louis Cen West MO FO,99,ST LOUIS CEN WEST MO,NULL,10/1/2020,5669 Delmar Blvd,,St Louis,MO,63112,18888107291,NULL,NULL,2020-12-19 16:07:56.774+00
82,2,ny-midtown-ny-fo,Ny Midtown NY FO,100,NY MIDTOWN NY,NULL,10/1/2020,237 W 48Th Street,5Th Floor,New York,NY,10036,18669640783,NULL,NULL,2020-12-19 16:07:51.096+00
83,2,syracuse-ny-fo,Syracuse NY FO,101,SYRACUSE NY,NULL,10/1/2020,100 S Clinton St,Fed Bldg 4Th Floor,Syracuse,NY,13261,18667554884,NULL,NULL,2020-12-19 16:07:57.103+00
84,2,albany-ny-fo,Albany NY FO,102,ALBANY NY,NULL,10/1/2020,11 A Clinton Ave,Rm 430 Federal Bldg,Albany,NY,12207,18662539183,NULL,NULL,2020-12-19 16:07:36.996+00
85,2,buffalo-ny-fo,Buffalo NY FO,103,BUFFALO NY,NULL,10/1/2020,186 Exchange Street,Suite 100,Buffalo,NY,14204,18558810213,NULL,NULL,2020-12-19 16:07:38.789+00
86,2,binghamton-ny-fo,Binghamton NY FO,104,BINGHAMTON NY,NULL,10/1/2020,2 Court Street,Suite 300,Binghamton,NY,13901,18669643971,NULL,NULL,2020-12-19 16:07:38.211+00
87,2,schenectady-ny-fo,Schenectady NY FO,105,SCHENECTADY NY,NULL,10/1/2020,One Broadway Center,8Th Floor,Schenectady,NY,12305,18669641296,NULL,NULL,2020-12-19 16:07:56.095+00
88,2,boro-hall-ny-fo,Boro Hall NY FO,106,BORO HALL NY,NULL,10/1/2020,195 Montague St,7Th Floor,Brooklyn,NY,11201,18775314725,NULL,NULL,2020-12-19 16:07:38.388+00
89,2,rochester-ny-fo,Rochester NY FO,108,ROCHESTER NY,NULL,10/1/2020,2Nd Floor,200 E. Main St,Rochester,NY,14604,18669642045,NULL,NULL,2020-12-19 16:07:55.317+00
90,2,ny-downtown-ny-fo,NY Downtown NY FO,109,NY DOWNTOWN NY,NULL,10/1/2020,123 William St,4Th Floor,New York,NY,10038,18663351089,NULL,NULL,2020-12-19 16:07:50.939+00
91,2,utica-ny-fo,Utica NY FO,110,UTICA NY,NULL,10/1/2020,10 Broad Street,Federal Building,Utica,NY,13501,18774056750,NULL,NULL,2020-12-19 16:07:57.604+00
92,2,jamestown-ny-fo,Jamestown NY FO,111,JAMESTOWN NY,NULL,10/1/2020,321 Hazeltine Ave,,Jamestown,NY,14701,18773193079,NULL,NULL,2020-12-19 16:07:46.324+00
93,2,south-bronx-ny-fo,South Bronx NY FO,112,SOUTH BRONX NY,NULL,10/1/2020,"West, 3Rd Fl",820 Concourse Village,Bronx,NY,10451,18555311684,NULL,NULL,2020-12-19 16:07:56.524+00
94,2,yonkers-ny-fo,Yonkers NY FO,113,YONKERS NY,NULL,10/1/2020,20 South Broadway,Ste 1000,Yonkers,NY,10701,18663316404,NULL,NULL,2020-12-19 16:07:58.445+00
95,2,horseheads-ny-fo,Horseheads NY FO,114,HORSEHEADS NY,NULL,10/1/2020,Suite 19,3345 Chambers Rd,Horseheads,NY,14845,18669641715,NULL,NULL,2020-12-19 16:07:45.516+00
96,2,niagara-falls-ny-fo,Niagara Falls NY FO,115,NIAGARA FALLS NY,NULL,10/1/2020,6540 Niagara Falls Bvd,,Niagara Falls,NY,14304,18774804992,NULL,NULL,2020-12-19 16:07:50.731+00
97,2,ogdensburg-ny-fo,Ogdensburg NY FO,116,OGDENSBURG NY,NULL,10/1/2020,101 Ford Street,,Ogdensburg,NY,13669,18665728369,NULL,NULL,2020-12-19 16:07:51.773+00
98,2,ny-uptown-ny-fo,Ny Uptown NY FO,117,NY UPTOWN NY,NULL,10/1/2020,4Th Floor,302 West 126Th Street,New York,NY,10027,18669641301,NULL,NULL,2020-12-19 16:07:51.136+00
99,2,newburgh-ny-fo,Newburgh NY FO,118,NEWBURGH NY,NULL,10/1/2020,3 Washington Center,Suite 301,Newburgh,NY,12550,18665044801,NULL,NULL,2020-12-19 16:07:50.677+00
100,2,rego-park-ny-fo,Rego Park NY FO,119,REGO PARK NY,NULL,10/1/2020,6344 Austin Street,,Rego Park,NY,11374,18772551506,NULL,NULL,2020-12-19 16:07:55.039+00
101,2,jamaica-ny-fo,Jamaica NY FO,120,JAMAICA NY,NULL,10/1/2020,155-10 Jamaica Ave,3Rd Fl District Office,Jamaica,NY,11432,18665920802,NULL,NULL,2020-12-19 16:07:46.279+00
102,2,staten-island-ny-fo,Staten Island NY FO,121,STATEN ISLAND NY,NULL,10/1/2020,2391 Richmond Avenue,,Staten Island,NY,10314,18663315288,NULL,NULL,2020-12-19 16:07:56.97+00
103,2,gloversville-ny-fo,Gloversville NY FO,122,GLOVERSVILLE NY,NULL,10/1/2020,13 N Arlington Ave,,Gloversville,NY,12078,18885289446,NULL,NULL,2020-12-19 16:07:43.829+00
104,2,oswego-ny-fo,Oswego NY FO,123,OSWEGO NY,NULL,10/1/2020,17 Fourth Ave,,Oswego,NY,13126,18669647593,NULL,NULL,2020-12-19 16:07:52.15+00
105,2,plattsburgh-ny-fo,Plattsburgh NY FO,125,PLATTSBURGH NY,NULL,10/1/2020,14 Durkee St,Suite 230,Plattsburgh,NY,12901,18669647430,NULL,NULL,2020-12-19 16:07:54.05+00
106,2,queensbury-ny-fo,Queensbury NY FO,126,QUEENSBURY NY,NULL,10/1/2020,17 Cronin Rd,Suite 1,Queensbury,NY,12804,18774054875,NULL,NULL,2020-12-19 16:07:54.903+00
107,2,brooklyn-flatbush-ny-fo,Brooklyn Flatbush NY FO,127,BROOKLYN FLATBUSH NY,NULL,10/1/2020,2250 Nostrand Ave,,Brooklyn,NY,11210,18665639461,NULL,NULL,2020-12-19 16:07:38.709+00
108,2,new-rochelle-ny-fo,New Rochelle NY FO,128,NEW ROCHELLE NY,NULL,10/1/2020,85 Harrison St,Street Level,New Rochelle,NY,10801,18552101026,NULL,NULL,2020-12-19 16:07:50.605+00
109,2,watertown-ny-fo,Watertown NY FO,129,WATERTOWN NY,NULL,10/1/2020,156 Bellew Ave South,,Watertown,NY,13601,18666276995,NULL,NULL,2020-12-19 16:07:57.893+00
110,2,troy-ny-fo,Troy NY FO,130,TROY NY,NULL,10/1/2020,500 Federal St,Suite 101,Troy,NY,12180,18667702662,NULL,NULL,2020-12-19 16:07:57.444+00
111,2,north-bronx-ny-fo,North Bronx NY FO,132,NORTH BRONX NY,NULL,10/1/2020,2501 Grand Concourse,2Nd Floor,Bronx,NY,10468,18776192852,NULL,NULL,2020-12-19 16:07:50.819+00
112,2,poughkeepsie-ny-fo,Poughkeepsie NY FO,133,POUGHKEEPSIE NY,NULL,10/1/2020,332 Main St,,Poughkeepsie,NY,12601,18774056747,NULL,NULL,2020-12-19 16:07:54.764+00
113,2,inwood-hill-ny-fo,Inwood Hill NY FO,134,INWOOD HILL NY,NULL,10/1/2020,4941 Broadway,,New York,NY,10034,18774450838,NULL,NULL,2020-12-19 16:07:45.903+00
114,2,brooklyn-bushwick-ny-fo,Brooklyn Bushwick NY FO,135,BROOKLYN BUSHWICK NY,NULL,10/1/2020,785 Flushing Ave,Third Floor,Brooklyn,NY,11206,18883271276,NULL,NULL,2020-12-19 16:07:38.685+00
115,2,patchogue-ny-fo,Patchogue NY FO,136,PATCHOGUE NY,NULL,10/1/2020,75 Oak Street,,Patchogue,NY,11772,18667711991,NULL,NULL,2020-12-19 16:07:53.071+00
116,2,brooklyn-new-utrecht-fo,Brooklyn New Utrecht FO,137,BROOKLYN NEW UTRECHT,NULL,10/1/2020,7714 17 Avenue,,Brooklyn,NY,11214,18665859320,NULL,NULL,2020-12-19 16:07:38.722+00
117,2,mineola-ny-fo,Mineola NY FO,138,MINEOLA NY,NULL,10/1/2020,211 Station Rd,5Th Floor,Mineola,NY,11501,18667581318,NULL,NULL,2020-12-19 16:07:49.981+00
118,2,cypress-hills-fo,Cypress Hills FO,139,CYPRESS HILLS,NULL,10/1/2020,3386 Fulton Street,,Brooklyn,NY,11208,18666132767,NULL,NULL,2020-12-19 16:07:41.06+00
119,2,corning-ny-fo,Corning NY FO,140,CORNING NY,NULL,10/1/2020,200 Nasser Civic Ctr,,Corning,NY,14830,18665913665,NULL,NULL,2020-12-19 16:07:40.798+00
120,2,geneva-ny-fo,Geneva NY FO,141,GENEVA NY,NULL,10/1/2020,15 Lewis St,,Geneva,NY,14456,18663317759,NULL,NULL,2020-12-19 16:07:43.735+00
121,2,olean-ny-fo,Olean NY FO,142,OLEAN NY,NULL,10/1/2020,1618 W State St,,Olean,NY,14760,18773195773,NULL,NULL,2020-12-19 16:07:51.921+00
122,2,batavia-ny-fo,Batavia NY FO,143,BATAVIA NY,NULL,10/1/2020,571 East Main Street,,Batavia,NY,14020,18669317103,NULL,NULL,2020-12-19 16:07:37.903+00
123,2,melville-ny-fo,Melville NY FO,144,MELVILLE NY,NULL,10/1/2020,1121 Walt Whitman Rd,Suite 201,Melville,NY,11747,18669640165,NULL,NULL,2020-12-19 16:07:49.484+00
124,2,oneonta-ny-fo,Oneonta NY FO,146,ONEONTA NY,NULL,10/1/2020,31 Main St,Suite 1,Oneonta,NY,13820,18776286581,NULL,NULL,2020-12-19 16:07:51.997+00
125,2,east-bronx-ny-fo,East Bronx NY FO,147,EAST BRONX NY,NULL,10/1/2020,1380 Parker Street,2Nd Floor,Bronx,NY,10462,18669312526,NULL,NULL,2020-12-19 16:07:41.83+00
126,2,white-plains-ny-fo,White Plains NY FO,148,WHITE PLAINS NY,NULL,10/1/2020,297 Knollwood Rd,Suite 4A,White Plains,NY,10607,18663318134,NULL,NULL,2020-12-19 16:07:58.126+00
127,2,west-nyack-ny-fo,West Nyack NY FO,149,WEST NYACK NY,NULL,10/1/2020,240 West Nyack Road,,West Nyack,NY,10994,18667554334,NULL,NULL,2020-12-19 16:07:58.074+00
128,2,flushing-ny-fo,Flushing NY FO,150,FLUSHING NY,NULL,10/1/2020,138-50 Barclay Ave,,Flushing,NY,11355,18774571735,NULL,NULL,2020-12-19 16:07:43.137+00
129,2,freeport-ny-fo,Freeport NY FO,151,FREEPORT NY,NULL,10/1/2020,84 N. Main Street,,Freeport,NY,11520,18669640028,NULL,NULL,2020-12-19 16:07:43.467+00
130,2,ithaca-ny-fo,Ithaca NY FO,152,ITHACA NY,NULL,10/1/2020,127 W State Street,2Nd Fl,Ithaca,NY,14850,18667068289,NULL,NULL,2020-12-19 16:07:45.987+00
131,2,hudson-ny-fo,Hudson NY FO,153,HUDSON NY,NULL,10/1/2020,747 Warren Street,,Hudson,NY,12534,18778281691,NULL,NULL,2020-12-19 16:07:45.624+00
132,2,monticello-ny-fo,Monticello NY FO,154,MONTICELLO NY,NULL,10/1/2020,60 Jefferson St,Suite 4,Monticello,NY,12701,18557944728,NULL,NULL,2020-12-19 16:07:50.132+00
133,2,ny-east-harlem-ny-fo,NY East Harlem NY FO,156,NY EAST HARLEM NY,NULL,10/1/2020,4Th Floor,345 E 102 Street,New York,NY,10029,18774450836,NULL,NULL,2020-12-19 16:07:51.015+00
134,2,bronx-hunts-point-ny-fo,Bronx Hunts Point NY FO,158,BRONX HUNTS POINT NY,NULL,10/1/2020,1029 E 163Rd Street,3Rd Floor,Bronx,NY,10459,18662209777,NULL,NULL,2020-12-19 16:07:38.645+00
